客户	ERP CO.	工单号	产品码	款号	订单数量	订单交期
SJK	C012749-001	B03-040	FG31	CB03161A42	700	2008/4/1
MEIJER	C012749-001	B03-040	FG31	67148F	1644	2009/3/31
ARP INTERNATIONAL	C012859-001	B03-041	FG31	SG11010MEX 002	2200	2008/3/12
MEIJER	C012859-001	B03-041	FG31	67148F	780	2009/3/31
WENZEL	C012873-001	B03-042	FG31	49065P	3060	2008/3/24
ARP INTERNATIONAL	C012873-001	B03-042	FG31	44001 001	1150	2009/3/23
WENZEL	C012876-001	B03-043	FG31	49065P	3060	2008/3/24
ARP INTERNATIONAL	C012876-001	B03-043	FG31	44001 002	1150	2009/3/23
SJK	C012898-001	B03-044	FG25	CAB4083	100	2008/4/1
ARP INTERNATIONAL	C012898-001	B03-044	FG31	44001 001	1150	2009/4/10
DECATHLON	C012904-001	B03-045	FG31	9/160.426L	300	2008/5/19
ARP INTERNATIONAL	C012904-001	B03-045	FG31	44001 003	1150	2009/4/10
DECATHLON	C012904-002	B03-046	FG31	9/160.426R	300	2008/5/19
CRP	C012904-002	B03-046	FG31	076-0732-8	174	2009/4/14
CRP	C012904-002	B03-046	FG31	076-0732-8	418	2009/5/9
CRP	C012904-002	B03-046	FG31	076-0732-8	204	2009/4/19
CRP	C012904-002	B03-046	FG31	076-0732-8	204	2009/4/14
DECATHLON	C012906-001	B03-047	FG31	9/171.878L	201	2008/5/19
DECATHLON	C012906-001	B03-047	FG31	9/171.878L	18	2008/4/20
CRP	C012906-001	B03-047	FG31	076-0733-6	158	2009/4/16
CRP	C012906-001	B03-047	FG31	076-0733-6	146	2009/4/8
CRP	C012906-001	B03-047	FG31	076-0733-6	492	2009/4/9
CRP	C012906-001	B03-047	FG31	076-0733-6	204	2009/4/13
DECATHLON	C012906-002	B03-048	FG31	9/171.878R	201	2008/5/19
DECATHLON	C012906-002	B03-048	FG31	9/171.878R	18	2008/4/20
CRP	C012906-002	B03-048	FG31	076-0786-0	614	2009/5/13
CRP	C012906-002	B03-048	FG31	076-0786-0	66	2009/4/14
CRP	C012906-002	B03-048	FG31	076-0786-0	620	2009/4/10
CRP	C012906-002	B03-048	FG31	076-0786-0	200	2009/4/13
DECATHLON	C012908-001	B03-049	FG31	9/168.958L	66	2008/3/3
CRP	C012908-001	B03-049	FG31	076-0705-4	356	2009/4/23
CRP	C012908-001	B03-049	FG31	076-0705-4	336	2009/6/3
CRP	C012908-001	B03-049	FG31	076-0705-4	978	2009/4/26
CRP	C012908-001	B03-049	FG31	076-0705-4	762	2009/4/28
CRP	C012908-001	B03-049	FG31	076-0705-4	606	2009/5/18
CRP	C012908-001	B03-049	FG31	076-0705-4	456	2009/5/19
CRP	C012908-001	B03-049	FG31	076-0705-4	588	2009/5/20
CRP	C012908-001	B03-049	FG31	076-0705-4	324	2009/5/28
CRP	C012908-001	B03-049	FG31	076-0705-4	594	2009/6/3
DECATHLON	C012908-002	B03-050	FG31	9/168.958R	66	2008/3/3
CRP	C012908-002	B03-050	FG31	076-0837-0	794	2009/4/5
WENZEL	C012913-001	B03-051	FG31	WG10208.6P	516	2008/3/20
WENZEL	C012913-001	B03-051	FG31	49116P	1816	2009/3/18
WENZEL	C012914-001	B03-052	FG31	WG10208.6P	124	2008/5/1
WENZEL	C012914-001	B03-052	FG31	49116P	1816	2009/3/18
SJK	C012929-001	B03-053	FG31	SJ0506	150	2008/3/31
WENZEL	C012929-001	B03-053	FG31	SG11011	350	2009/3/19
EB	C012990-001	B03-054	FG31	EB10060	3500	2008/4/1
WENZEL	C012990-001	B03-054	FG31	67141.4	350	2009/3/19
EB	C012991-001	B03-055	FG31	EB10067	1000	2008/4/8
WENZEL	C012991-001	B03-055	FG31	SG11011	350	2009/3/19
EB	C012992-001	B03-056	FG31	EB10068	2200	2008/3/31
WENZEL	C012992-001	B03-056	FG31	SG11021	300	2009/3/19
WENZEL	C013004-001	B03-057	FG31	67044.3	500	2008/4/1
WENZEL	C013004-001	B03-057	FG31	SG11091	200	2009/3/19
WENZEL	C013005-001	B03-058	FG31	67087.2 002	300	2008/3/24
WENZEL	C013005-001	B03-058	FG31	49124.6	350	2009/3/19
WENZEL	C013016-001	B03-059	FG31	49108	500	2008/4/1
WENZEL	C013016-001	B03-059	FG31	WG10020.6	250	2009/4/2
WENZEL	C013017-001	B03-060	FG31	67042.3	350	2008/3/18
WENZEL	C013017-001	B03-060	FG31	67125.4	350	2009/4/2
DECATHLON	C012981-001	B03-061	FG31	9/171.878L	69	2008/3/10
WENZEL	C012981-001	B03-061	FG31	49033.6F	318	2009/2/17
DECATHLON	C012981-002	B03-062	FG31	9/171.878R	69	2008/3/10
WENZEL	C012981-002	B03-062	FG31	49103F	680	2009/2/17
DECATHLON	C012983-001	B03-063	FG31	9/160.426L	111	2008/3/10
WENZEL	C012983-001	B03-063	FG31	49014.1F	476	2009/2/17
DECATHLON	C012983-002	B03-064	FG31	9/160.426R	111	2008/3/10
WENZEL	C012983-002	B03-064	FG31	WG10011F	248	2009/2/17
WENZEL	C013047-001	B03-065	FG31	49036.6	1002	2008/3/27
WENZEL	C013047-001	B03-065	FG31	WG10096F	150	2009/2/17
WENZEL	C013035-001	B03-066	FG31	WG10208.6F	288	2008/3/25
WENZEL	C013035-001	B03-066	FG31	49105F	584	2009/4/13
DECATHLON	C013054-001	B03-067	FG31	9/171.878L	60	2008/5/19
DECATHLON	C013054-001	B03-067	FG31	9/171.878L	9	2008/4/17
DECATHLON	C013054-001	B03-067	FG31	9/171.878L	12	2008/5/8
WENZEL	C013054-001	B03-067	FG31	49104F	584	2009/4/13
DECATHLON	C013054-002	B03-068	FG31	9/171.878R	60	2008/5/19
DECATHLON	C013054-002	B03-068	FG31	9/171.878R	9	2008/4/17
DECATHLON	C013054-002	B03-068	FG31	9/171.878R	12	2008/5/8
ARP INTERNATIONAL	C013054-002	B03-068	FG31	64003.4 001	7389	2009/4/7
DECATHLON	C013055-001	B03-069	FG31	9/160.426L	42	2008/5/19
DECATHLON	C013055-001	B03-069	FG31	9/160.426L	24	2008/4/17
ARP INTERNATIONAL	C013055-001	B03-069	FG31	64003.4 002	7389	2009/4/7
DECATHLON	C013055-002	B03-070	FG31	9/160.426R	42	2008/5/19
DECATHLON	C013055-002	B03-070	FG31	9/160.426R	24	2008/4/17
ARP INTERNATIONAL	C013055-002	B03-070	FG31	64001.2	6102	2009/4/7
DECATHLON	C013060-001	B03-071	FG31	9/160.426L	234	2008/5/19
ARP INTERNATIONAL	C013060-001	B03-071	FG31	44001 002	1150	2009/4/17
DECATHLON	C013060-002	B03-072	FG31	9/160.426R	234	2008/5/19
ARP INTERNATIONAL	C013060-002	B03-072	FG31	44001 003	1150	2009/4/17
DECATHLON	C013058-001	B03-073	FG31	9/171.878L	81	2008/3/17
WALMART	C013058-001	B03-073	FG31	49146F 001	909	2009/3/9
DECATHLON	C013058-002	B03-074	FG31	9/171.878R	81	2008/3/17
WALMART	C013058-002	B03-074	FG31	49146F 002	909	2009/3/9
WENZEL	C012913-002	B03-075	FG31	WG10208.6P	380	2008/3/20
WENZEL	C012913-002	B03-075	FG31	67126.6 001	375	2009/4/15
WENZEL	C013035-002	B03-076	FG31	WG10208.6F	312	2008/3/25
WENZEL	C013035-002	B03-076	FG31	67126.6 002	375	2009/4/15
WENZEL	C012914-002	B03-077	FG31	WG10208.6P	100	2008/3/25
WENZEL	C012914-002	B03-077	FG31	49033.6	500	2009/4/15
WENZEL	C012914-003	B03-078	FG31	WG10208.6P	40	2008/3/25
WENZEL	C012914-003	B03-078	FG31	67141.4	500	2009/4/15
DECATHLON	C013081-001	B03-079	FG31	9/168.958L	189	2008/3/17
WENZEL	C013081-001	B03-079	FG31	49014.1	500	2009/4/29
DECATHLON	C013081-002	B03-080	FG31	9/168.958R	189	2008/3/17
WENZEL	C013081-002	B03-080	FG31	SG11091	350	2009/4/15
DECATHLON	C013082-001	B03-081	FG31	9/160.426L	195	2008/3/17
WENZEL	C013082-001	B03-081	FG31	SG11091	350	2009/4/29
DECATHLON	C013082-002	B03-082	FG31	9/160.426R	195	2008/3/17
SAM'S	C013082-002	B03-082	FG31	SG11097F MINI	45	2009/2/16
DECATHLON	C013083-001	B03-083	FG31	9/171.878L	93	2008/3/17
WALMART	C013083-001	B03-083	FG31	49146F 001	6057	2009/3/30
DECATHLON	C013083-002	B03-084	FG31	9/171.878R	93	2008/3/17
WALMART	C013083-002	B03-084	FG31	49146F 002	6057	2009/3/30
DECATHLON	C013087-001	B03-085	FG31	9/168.958L	384	2008/3/24
WALMART	C013087-001	B03-085	FG31	49146F 001	3744	2009/3/26
DECATHLON	C013087-002	B03-086	FG31	9/168.958R	384	2008/3/24
WALMART	C013087-002	B03-086	FG31	49146F 002	3744	2009/3/26
DECATHLON	C013090-001	B03-087	FG31	2/163.233L	154	2008/3/24
WALMART	C013090-001	B03-087	FG31	49146F 001	2175	2009/3/26
WALMART	C013090-001	B03-087	FG31	49146F 001	3261	2009/3/26
DECATHLON	C013090-002	B03-088	FG31	2/163.233R	154	2008/3/24
WALMART	C013090-002	B03-088	FG31	49146F 002	2175	2009/3/26
WALMART	C013090-002	B03-088	FG31	49146F 002	3261	2009/3/26
WENZEL	C013205-001	B03-089	FG31	67139.8	250	2008/4/14
WALMART	C013205-001	B03-089	FG31	49146F 001	10386	2009/3/26
WENZEL	C013206-001	B03-090	FG31	67140.6	500	2008/4/14
WALMART	C013206-001	B03-090	FG31	49146F 002	10386	2009/3/26
WENZEL	C013220-001	B03-092	FG31	49036.6P	1200	2008/4/10
WALMART	C013220-001	B03-092	FG31	49146F 002	2100	2009/4/7
WENZEL	C013221-001	B03-093	FG31	67042.3P	600	2008/4/10
WALMART	C013221-001	B03-093	FG31	49146F 001	1872	2009/4/14
WENZEL	C013222-001	B03-094	FG31	67044.3P	380	2008/4/10
WALMART	C013222-001	B03-094	FG31	49146F 002	1872	2009/4/14
WENZEL	C013223-001	B03-095	FG31	49036.6P	1404	2008/4/10
WALMART	C013223-001	B03-095	FG31	49146F 001	1140	2009/4/14
WENZEL	C013224-001	B03-096	FG31	67042.3P	600	2008/4/10
WALMART	C013224-001	B03-096	FG31	49146F 002	1140	2009/4/14
WENZEL	C013225-001	B03-097	FG31	67044.3P	240	2008/4/10
WALMART	C013225-001	B03-097	FG31	49146F 001	2100	2009/4/14
WENZEL	C013303-001	B03-098	FG31	49014.1P	352	2008/3/31
WALMART	C013303-001	B03-098	FG31	49146F 002	2100	2009/4/14
WENZEL	C013306-001	B03-099	FG31	49157P	980	2008/3/31
WALMART	C013306-001	B03-099	FG31	49146F 001	6045	2009/4/14
DECATHLON	C013313-001	B03-100	FG31	2/163.233L	1930	2008/4/7
WALMART	C013313-001	B03-100	FG31	49146F 002	6045	2009/4/14
DECATHLON	C013313-002	B03-101	FG31	2/163.233R	1930	2008/4/7
WALMART	C013313-002	B03-101	FG31	49146F 001	1557	2009/4/16
DECATHLON	C013314-001	B03-102	FG31	9/171.878L	483	2008/4/7
WALMART	C013314-001	B03-102	FG31	49146F 002	1557	2009/4/16
DECATHLON	C013314-002	B03-103	FG31	9/171.878R	483	2008/4/7
WALMART	C013314-002	B03-103	FG31	49146F 001	2	2009/3/23
WENZEL	C013317-001	B03-104	FG31	SG11095F	1764	2008/3/18
WALMART	C013317-001	B03-104	FG31	49146F 002	1	2009/3/23
WENZEL	C012914-004	B03-105	FG31	WG10208.6P	40	2008/3/25
C3Marketplace	C012914-004	B03-105	FG99	BK840-S	84	2009/4/22
WENZEL	C012914-005	B03-106	FG31	WG10208.6P	60	2008/3/25
C3Marketplace	C012914-005	B03-106	FG99	BK840-M	300	2009/4/22
WENZEL	C012914-006	B03-107	FG31	WG10208.6P	84	2008/3/25
C3Marketplace	C012914-006	B03-107	FG99	BK840-L	300	2009/4/22
WENZEL	C012914-007	B03-108	FG31	WG10208.6P	200	2008/3/25
C3Marketplace	C012914-007	B03-108	FG99	BK840-XL	300	2009/4/22
WENZEL	C012914-008	B03-109	FG31	WG10208.6P	56	2008/3/25
C3Marketplace	C012914-008	B03-109	FG99	TM730-S	66	2009/4/22
WENZEL	C012914-009	B03-110	FG31	WG10208.6P	36	2008/3/25
C3Marketplace	C012914-009	B03-110	FG99	TM730-M	150	2009/4/22
SJK	C011907-001	B04-002	FG31	SJ03051A61PN	32	2008/5/12
WENZEL	C011907-001	B04-002	FG31	49116P	1816	2009/4/1
SJK	C011908-001	B04-003	FG31	SJ03061A61PN	31	2008/5/12
SJK	C011908-001	B04-003	FG31	SJ03071A21	200	2009/4/29
SJK	C011913-001	B04-004	FG23	SJ0518PN	40	2008/5/12
SJK	C011913-001	B04-004	FG31	SJ03081A61	250	2009/5/11
SJK	C011922-001	B04-005	FG31	SJ050046PN	7	2008/5/12
CRP	C011922-001	B04-005	FG31	076-0734-4	275	2009/5/8
SJK	C011923-001	B04-006	FG31	SJ050050PN	3	2008/5/12
SJK	C011924-001	B04-007	FG31	SJ050051PN	16	2008/5/12
EB	C012064-001	B04-008	FG31	EB10060F	6466	2008/4/22
WENZEL	C012064-001	B04-008	FG31	SG11040.1	500	2009/4/15
EB	C012065-001	B04-009	FG31	EB10067F	3500	2008/4/22
WENZEL	C012065-001	B04-009	FG31	SG11011	300	2009/4/15
EB	C012066-001	B04-010	FG31	EB10068F	5100	2008/4/22
WENZEL	C012066-001	B04-010	FG31	SG11021	450	2009/4/8
EB	C012069-001	B04-011	FG31	EB10060F	434	2008/4/22
WENZEL	C012069-001	B04-011	FG31	SG11021	450	2009/4/15
CRP	C012075-001	B04-012	FG31	779739	1472	2008/5/12
WENZEL	C012075-001	B04-012	FG31	SG11021	350	2009/4/29
CRP	C012074-001	B04-013	FG31	779739	1472	2008/4/11
WENZEL	C012074-001	B04-013	FG31	SG11091	100	2009/4/8
CRP	C012073-001	B04-014	FG31	779739	1472	2008/4/11
WENZEL	C012073-001	B04-014	FG31	WG10011	350	2009/4/8
CRP	C012072-001	B04-015	FG31	779739	1472	2008/5/12
WENZEL	C012072-001	B04-015	FG31	WG10020.6	250	2009/4/15
CRP	C012076-001	B04-016	FG31	779739	1472	2008/4/26
ARP INTERNATIONAL	C012076-001	B04-016	FG31	44001 004	4600	2009/5/10
OASE OUTDOORS APS	C012452-005	B04-017	FG31	330633	300	2008/4/15
WALMART	C012452-005	B04-017	FG31	49146F 001	1431	2009/4/30
OASE OUTDOORS APS	C012452-006	B04-018	FG31	330639	300	2008/4/15
WALMART	C012452-006	B04-018	FG31	49146F 002	1431	2009/4/30
OASE OUTDOORS APS	C012452-007	B04-019	FG31	330642	750	2008/4/15
WALMART	C012452-007	B04-019	FG31	49146F 001	2163	2009/5/7
WALMART	C012452-007	B04-019	FG31	49146F 001	732	2009/5/7
OASE OUTDOORS APS	C012452-008	B04-020	FG31	330645	600	2008/4/15
WALMART	C012452-008	B04-020	FG31	49146F 002	2163	2009/5/7
WALMART	C012452-008	B04-020	FG31	49146F 002	732	2009/5/7
OASE OUTDOORS APS	C012452-009	B04-021	FG31	330648	300	2008/4/15
WALMART	C012452-009	B04-021	FG31	49146F 001	252	2009/5/7
OASE OUTDOORS APS	C012452-004	B04-022	FG31	330630	300	2008/4/15
WALMART	C012452-004	B04-022	FG31	49146F 002	252	2009/5/7
MEIJER	C012457-001	B04-023	FG31	67148F	2424	2008/6/11
WALMART	C012457-001	B04-023	FG31	49146F 001	225	2009/5/7
WENZEL	C012673-001	B04-030	FG31	49035P	600	2008/4/25
WALMART	C012673-001	B04-030	FG31	49146F 002	1872	2009/6/4
WENZEL	C012674-001	B04-031	FG31	49075P	700	2008/4/25
WALMART	C012674-001	B04-031	FG31	49146F 001	3150	2009/4/23
WENZEL	C012675-001	B04-032	FG31	49076P	600	2008/4/25
WALMART	C012675-001	B04-032	FG31	49146F 002	3150	2009/4/23
WENZEL	C012676-001	B04-033	FG31	67141.3P	1600	2008/4/25
WALMART	C012676-001	B04-033	FG31	49146F 001	1872	2009/4/23
WENZEL	C012678-001	B04-034	FG31	49014.1P	352	2008/4/25
WALMART	C012678-001	B04-034	FG31	49146F 002	1872	2009/4/23
ARP INTERNATIONAL	C012860-001	B04-035	FG31	SG11010MEX 002	2200	2008/4/16
WALMART	C012860-001	B04-035	FG31	49146F 001	1872	2009/4/23
ARP INTERNATIONAL	C012861-001	B04-036	FG31	SG11010MEX 002	2200	2008/4/23
WALMART	C012861-001	B04-036	FG31	49146F 002	1872	2009/4/23
ARP INTERNATIONAL	C012862-001	B04-037	FG31	SG11010MEX 002	2200	2008/5/7
WALMART	C012862-001	B04-037	FG31	49146F 001	2901	2009/4/23
WENZEL	C012915-001	B04-038	FG31	WG10208.6P	164	2008/12/4
WENZEL	C012915-001	B04-038	FG31	WG10208.6P	4	2008/5/1
WENZEL	C012915-001	B04-038	FG31	WG10208.6P	116	2008/5/1
WENZEL	C012915-001	B04-038	FG31	WG10208.6P	24	2008/5/1
WENZEL	C012915-001	B04-038	FG31	WG10208.6P	64	2008/5/1
WENZEL	C012915-001	B04-038	FG31	WG10208.6P	104	2008/5/1
WALMART	C012915-001	B04-038	FG31	49146F 002	2901	2009/4/23
SJK	C012933-001	B04-039	FG31	SJ05078C21	250	2008/5/5
WALMART	C012933-001	B04-039	FG31	49146F 001	4	2009/5/14
WENZEL	C012958-001	B04-040	FG31	49116P	1816	2008/4/22
WALMART	C012958-001	B04-040	FG31	49146F 002	4	2009/5/14
WENZEL	C012959-001	B04-041	FG31	49065P	3060	2008/4/22
WENZEL	C012995-002	B04-042	FG31	WG10011	150	2008/4/7
WENZEL	C012997-001	B04-043	FG31	49103	200	2008/5/1
WALMART	C012997-001	B04-043	FG31	49146F 001	252	2009/5/21
WENZEL	C012998-001	B04-044	FG31	49124.6	350	2008/5/15
WALMART	C012998-001	B04-044	FG31	49146F 002	252	2009/5/21
WENZEL	C013007-001	B04-045	FG31	67126.6 001	100	2008/4/7
WALMART	C013007-001	B04-045	FG31	49146F 001	225	2009/6/4
WENZEL	C013007-002	B04-046	FG31	67126.6 002	100	2008/4/7
WALMART	C013007-002	B04-046	FG31	49146F 002	225	2009/6/4
WENZEL	C013009-001	B04-047	FG31	21620.5	250	2008/4/15
WALMART	C013009-001	B04-047	FG31	49146F 001	1040	2009/5/21
WENZEL	C013010-001	B04-048	FG31	21640.5	250	2008/4/15
WALMART	C013010-001	B04-048	FG31	49146F 002	1040	2009/5/21
WENZEL	C013015-001	B04-050	FG31	49060	300	2008/4/15
MEIJER	C013015-001	B04-050	FG31	67148F	1560	2009/3/31
WENZEL	C013018-001	B04-051	FG31	67044.3	500	2008/4/21
MEIJER	C013018-001	B04-051	FG31	67149F	520	2009/3/31
WENZEL	C013042-001	B04-052	FG31	67042.3	600	2008/4/7
SJK	C013042-001	B04-052	FG31	SJ050047	250	2009/6/3
WENZEL	C013043-001	B04-053	FG31	67042.3	600	2008/3/31
SJK	C013043-001	B04-053	FG31	SJ050047	250	2009/6/3
WENZEL	C013048-001	B04-054	FG31	49036.6	1002	2008/4/7
WENZEL	C013048-001	B04-054	FG31	49014.1F	148	2009/4/25
COSTCO	C009144-001	B04-066		WG10210F	684	2008/3/3
COSTCO	C009144-001	B04-066		WG10210F	224	2008/2/23
COSTCO	C009144-001	B04-066		WG10210F	64	2008/2/23
COSTCO	C009144-001	B04-066		WG10210F	116	2008/2/23
COSTCO	C009144-001	B04-066		WG10210F	244	2008/2/23
COSTCO	C009144-005	B04-069		WG10210F	1332	2008/3/3
WENZEL	C009144-005	B04-069	FG31	49036.6	1200	2009/4/22
WENZEL	C012696-001	B04-070	FG31	SG11020.6	500	2008/5/12
WENZEL	C012696-001	B04-070	FG31	67128.6	350	2009/5/15
WENGER	C012700-001	B04-071	FG31	WG10096.8	500	2008/5/1
WENZEL	C012700-001	B04-071	FG31	67129.6	1200	2009/4/29
WENZEL	C012702-001	B04-072	FG31	49014.1	500	2008/5/1
WENZEL	C012702-001	B04-072	FG31	49041.6	150	2009/5/15
WENZEL	C012707-001	B04-073	FG31	49036.6	1002	2008/5/1
WENZEL	C012707-001	B04-073	FG31	SG11011	500	2009/4/29
WENZEL	C012713-001	B04-074	FG31	67125.4	500	2008/4/21
SJK	C012713-001	B04-074	FG31	SJ05078C21	250	2009/5/4
WENZEL	C012728-001	B04-076	FG27	27395	500	2008/5/1
WENZEL	C012728-001	B04-076	FG31	27395.1	440	2009/4/1
OASE OUTDOORS APS	C012883-001	B04-078	FG31	330645	1000	2008/4/15
WENZEL	C012883-001	B04-078	FG31	27395.1	376	2009/4/1
OASE OUTDOORS APS	C013028-001	B04-079	FG31	330642	500	2008/4/15
ARP INTERNATIONAL	C013028-001	B04-079	FG31	SG64500WAR	600	2009/5/1
OASE OUTDOORS APS	C013029-001	B04-080	FG31	330645	300	2008/4/15
ARP INTERNATIONAL	C013029-001	B04-080	FG31	64003.4WAR 001	501	2009/5/1
OASE OUTDOORS APS	C013027-001	B04-081	FG31	330636	300	2008/4/15
ARP INTERNATIONAL	C013027-001	B04-081	FG31	64003.4WAR 002	501	2009/5/1
WENZEL	C013226-001	B04-082	FG31	49036.6P	1404	2008/5/1
SJK	C013226-001	B04-082	FG31	SJ05173-001	470	2009/5/4
WENZEL	C013227-001	B04-083	FG31	67042.3P	600	2008/5/1
ARP INTERNATIONAL	C013227-001	B04-083	FG31	54311 001	1100	2009/5/15
WENZEL	C013228-001	B04-084	FG31	67044.3P	240	2008/5/1
ARP INTERNATIONAL	C013228-001	B04-084	FG31	54311 002	1100	2009/5/15
EB	C013238-001	B04-085	FG31	EB10076F	5500	2008/4/28
EB	C013241-001	B04-086	FG31	EB10077F	7500	2008/4/28
EB	C013242-001	B04-087	FG31	EB10078F	6000	2008/4/28
CRP	C013242-001	B04-087	FG31	076-0734-4	128	2009/5/14
EB	C013243-001	B04-088	FG31	EB10076F	1000	2008/5/12
CRP	C013243-001	B04-088	FG31	076-0733-6	76	2009/5/14
EB	C013244-001	B04-089	FG31	EB10077F	2000	2008/5/12
CRP	C013244-001	B04-089	FG31	076-0734-4	330	2009/5/14
EB	C013245-001	B04-090	FG31	EB10078F	1000	2008/5/12
CRP	C013245-001	B04-090	FG31	076-0732-8	302	2009/5/14
WENZEL	C013322-001	B04-091	FG31	SG11095F	1800	2008/4/15
CRP	C013322-001	B04-091	FG31	076-0733-6	204	2009/5/18
WENZEL	C013323-001	B04-092	FG31	SG11095F	1200	2008/4/15
WENZEL	C013324-001	B04-093	FG31	SG11095F	1004	2008/4/17
WENZEL	C013325-001	B04-094	FG31	49033F	1164	2008/4/14
WENZEL	C013326-001	B04-095	FG31	49111F	804	2008/4/14
WENZEL	C013415-001	B04-096	FG31	28140	500	2008/5/1
EB	C013427-001	B04-097	FG31	EB10067	2000	2008/5/12
EB	C013428-001	B04-098	FG31	EB10068	3000	2008/6/15
EB	C013430-001	B04-099	FG31	EB10060	3000	2008/4/15
EB	C013431-001	B04-100	FG31	EB10067	1200	2008/4/21
EB	C013432-001	B04-101	FG31	EB10068	1400	2008/6/15
WENZEL	C013460-001	B04-102	FG31	67140.6	750	2008/4/14
WENZEL	C013461-001	B04-103	FG31	67140.6	500	2008/5/1
WENZEL	C013466-001	B04-104	FG31	49108	400	2008/5/15
EB	C013432-002	B04-105	FG31	EB10068	1300	2008/6/15
EB	C013431-002	B04-106	FG31	EB10067	1200	2008/4/28
SJK	C013687-001	B04-107	FG31	SJ03061A61PN	52	2008/5/12
SJK	C013689-001	B04-109	FG31	SJ050046PN	27	2008/5/12
SJK	C013691-001	B04-110	FG23	SJ0518PN	64	2008/5/12
SJK	C013698-001	B04-111	FG31	SJ03051A61PN	142	2008/5/12
EB	C013427-002	B04-112	FG31	EB10067	1500	2008/6/15
CRP	C012077-001	B05-001	FG31	779739	1472	2008/6/5
WENZEL	C012077-001	B05-001	FG31	49006.5P	1816	2009/4/15
WENZEL	C012679-001	B05-002	FG31	49035P	348	2008/5/24
SJK	C012679-001	B05-002	FG31	SJ03071A21	200	2009/6/8
WENZEL	C012680-001	B05-003	FG31	49075P	1100	2008/5/24
SJK	C012680-001	B05-003	FG31	SJ03081A61	200	2009/7/6
WENZEL	C012681-001	B05-004	FG31	49076P	700	2008/5/24
CRP	C012681-001	B05-004	FG31	076-0734-4	40	2009/5/14
WENZEL	C012682-001	B05-005	FG31	67141.3P	1100	2008/5/24
WENZEL	C012682-001	B05-005	FG31	49006.5P	2000	2009/6/16
WENZEL	C012684-001	B05-006	FG31	49014.1P	452	2008/5/24
WENZEL	C012684-001	B05-006	FG31	49124.5P	2000	2009/6/16
WENZEL	C012708-001	B05-007	FG31	49036.6	1002	2008/6/1
CRP	C012708-001	B05-007	FG31	111664	1616	2009/5/26
WENZEL	C012877-001	B05-008	FG31	49116P	1816	2008/5/26
WENZEL	C012877-001	B05-008	FG31	49124.6	350	2009/4/22
WENZEL	C012879-001	B05-009	FG31	67140.6P	1836	2008/5/26
WENZEL	C012879-001	B05-009	FG31	67125.4	500	2009/6/1
WENZEL	C012878-001	B05-010	FG31	SG11041.6P	1168	2008/5/26
WENZEL	C012878-001	B05-010	FG31	67126.6 001	175	2009/4/22
COSTCO	C009359-003	B05-011		WG10210F	1332	2008/3/3
WENZEL	C009359-003	B05-011	FG31	67126.6 002	175	2009/4/22
WENZEL	C012917-001	B05-012	FG31	WG10208.6P	436	2008/12/4
WENZEL	C012917-001	B05-012	FG31	67128.6	350	2009/5/1
SJK	C012940-001	B05-013	FG31	SJ03051A61	200	2008/6/2
SJK	C012941-001	B05-014	FG31	SJ03061A61	200	2008/6/2
WENZEL	C012941-001	B05-014	FG31	67141.4	300	2009/5/15
SJK	C012942-001	B05-015	FG31	SJ03071A21	200	2008/6/2
WENZEL	C012942-001	B05-015	FG31	49103	500	2009/4/22
SJK	C012943-001	B05-016	FG31	SJ05078C21	250	2008/6/2
WENZEL	C012943-001	B05-016	FG31	49006.6	250	2009/4/22
SJK	C012947-001	B05-017	FG31	SJ050050	150	2008/4/15
WENZEL	C012947-001	B05-017	FG31	49014.1	500	2009/6/1
SJK	C012948-001	B05-018	FG31	SJ050051	150	2008/4/15
WENZEL	C012948-001	B05-018	FG31	49033.6	500	2009/6/1
WENZEL	C013006-001	B05-019	FG31	67125.4	350	2008/6/1
WENZEL	C013008-001	B05-020	FG31	67141.4	250	2008/6/1
WENZEL	C013008-001	B05-020	FG31	67042.3	500	2009/5/1
WENZEL	C013044-001	B05-021	FG31	67042.3	600	2008/5/12
WENZEL	C013044-001	B05-021	FG31	SG11021	350	2009/6/1
WENZEL	C013049-001	B05-022	FG31	49036.6	1002	2008/6/1
WENZEL	C013049-001	B05-022	FG31	SG11042	350	2009/5/1
WENZEL	C013199-001	B05-023	FG31	49103	200	2008/4/7
WENZEL	C013199-001	B05-023	FG31	WG10020.6	200	2009/5/1
WENZEL	C013204-001	B05-024	FG31	67125.4	500	2008/5/26
WENZEL	C013204-001	B05-024	FG25	WG10096	350	2009/5/1
WENZEL	C013207-001	B05-025	FG31	67140.6	500	2008/3/31
WENZEL	C013207-001	B05-025	FG31	SG11091	350	2009/6/1
WENZEL	C013229-001	B05-026	FG31	49036.6P	564	2008/6/1
SJK	C013229-001	B05-026	FG31	SJ02184G00	250	2009/6/3
WENZEL	C013230-001	B05-027	FG31	67042.3P	336	2008/6/1
SJK	C013230-001	B05-027	FG31	SJ03071A21	300	2009/5/27
WENZEL	C013231-001	B05-028	FG31	67044.3P	780	2008/6/1
SJK	C013231-001	B05-028	FG31	SJ050048	200	2009/6/3
EB	C013246-001	B05-029	FG31	EB10076F	1000	2008/5/26
WENZEL	C013246-001	B05-029	FG31	SG11011	300	2009/5/15
EB	C013247-001	B05-030	FG31	EB10077F	2500	2008/5/26
WENZEL	C013247-001	B05-030	FG31	28230	500	2009/5/13
